"Loc";"Region desde endémica";"Hos";"AÑO";"campaña";"hap_id";"B1";"B1a";"B2";"B3a";"B3b";"B3c";"B4";"B5";"B6";"B7";"B8";"B9a";"B9b";"B9c";"B10a";"B10b";"BE";"B5a"
"P";"núcleo";"M";91;9091;"pres3";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";90;8990;"TER";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";91;9091;"TER";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";91;9091;"TER";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;1;1
"RC";"endémica";"M";87;8687;"TER";1;0;1;0;1;0;1;;;;;;;;;;;
"RC";"endémica";"M";90;8990;"21/22";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";91;9091;"24/30";1;0;1;1;0;0;1;;;;;;;;;;;
"RC";"endémica";"M";91;9091;"53/33";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;1
"RC";"endémica";"M";89;8889;"76/34";1;0;1;1;0;0;1;;;;;;;;;;;
"P";"núcleo";"M";91;9091;"pres2";1;0;1;1;0;0;1;1;;;1;0;0;1;1;0;0;0
"P";"núcleo";"M";91;9091;"pres1";1;0;1;1;0;0;1;;;;;;;;;;;
"RC";"endémica";"M";91;9091;"TER";1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;1;1
"RC";"endémica";"M";87;8687;87;1;0;1;0;1;0;1;;;;1;0;0;1;1;0;0;0
"RC";"endémica";"M";89;8889;"pull";;;;;;;;;;;1;0;1;0;1;0;0;0
"RC";"endémica";"M";91;9091;"+poty";;;;;;;;;;;1;0;0;1;1;0;1;
"T";"Norte de endémica";"M";92;9192;"TE2";1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"AG";"Norte de endémica";"M";92;9192;"3/3C";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";91;9091;"12/90";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";92;9192;"4/92F";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";92;9192;"LP116";1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;0;0
"P";"núcleo";"M";92;9192;"LP123";1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";92;9192;"LP136";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";92;9192;"LP116";1;0;1;1;0;0;1;1;1;;;;;;;;;
"RC";"endémica";"M";92;9192;"LP123";1;0;1;0;1;0;1;1;1;1;;;;;;;;
"RC";"endémica";"M";92;9192;"LP2";1;0;1;1;0;0;1;1;1;1;;;;;;;;
"RC";"endémica";"M";92;9192;"march";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"T";94;9394;"H";1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"MF";"NorEste de endémica";"M";93;9293;737;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";93;9293;"522H";1;;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";93;9293;"523H";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"VM";"endémica";"M";93;9293;699;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"VM";"endémica";"M";93;9293;703;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;1;1
"LP";"Norte de endémica";"M";93;9293;721;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"EF";"NorEste de endémica";"M";93;9293;705;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0
"T";"Norte de endémica";"M";93;9293;391;1;0;1;0;1;0;1;1;1;1;1;1;1;0;1;1;0;0
"T";"Norte de endémica";"M";93;9293;397;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"LP";"Norte de endémica";"M";93;9293;714;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;1
"LP";"Norte de endémica";"M";93;9293;720;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";93;9293;435;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"EF";"NorEste de endémica";"M";93;9293;705;1;0;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0;0
"EF";"NorEste de endémica";"M";93;9293;710;1;0;1;1;0;0;1;1;1;1;1;0;0;1;0;0;1;0
"MF";"Norte de endémica";"M";93;9293;738;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0
"MF";"Norte de endémica";"M";93;9293;739;1;0;1;0;1;0;1;1;1;1;1;0;0;1;0;0;0;0
"T";"Norte de endémica";"M";93;9293;387;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"T";"Norte de endémica";"M";93;9293;398;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";93;9293;698;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"T";94;9394;"R";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"T";94;9394;"R";1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"T";94;9394;"R";1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"T";94;9394;"H";1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"T";94;9394;"R";1;0;;;;;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"T";94;9394;"R";1;0;;;;;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"T";94;9394;"R";1;0;;;;;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"T";94;9394;"R";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";97;9697;8;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";97;9697;14;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";97;9697;18;1;0;1;1;0;0;1;1;1;1;1;0;0;1;0;1;0;0
"RC";"endémica";"M";97;9697;19;1;0;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;0
"RC";"endémica";"M";97;9697;24;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0
"RC";"endémica";"M";97;9697;25;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0
"RC";"endémica";"M";97;9697;21;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"C";96;9697;634;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"VT";"este de endémica";"C";96;9697;723;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"C";96;9697;178;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"C";96;9697;709;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"TT";96;9697;593;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"TT";96;9697;591;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"TT";96;9697;610;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"TC";97;9697;696;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"CC";96;9697;30;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";0;9900;"nov 1";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";0;9900;"nov 2";1;0;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0
"RC";"endémica";"M";0;9900;"nov 3";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";0;9900;"nov 4";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";0;9900;"nov 5";1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";0;9900;"nov 6";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";0;9900;"nov 7";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";0;9900;"nov 8";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";0;9900;"nov 9";1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";0;9900;"nov10";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";0;9900;"nov11";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";0;9900;"nov12";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";"4/00";9900;1;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";0;9900;2;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";0;9900;3;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";0;9900;4;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";0;9900;5;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";0;9900;6;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";0;9900;7;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";0;9900;8;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";99;8999;"TE";1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"A";97;9798;678;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"A";97;9798;692;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"A";97;9798;3025;1;0;1;1;0;0;1;0;1;1;1;1;0;1;1;0;0;0
"TV";"valle altura";"A";97;9798;3036;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"HR";"sur de endémica";"A";96;9697;662;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"HR";"sur de endémica";"A";96;9697;669;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"C";96;9697;269;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"A";97;9798;"Aislam";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"A";99;9900;"Aislam";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";97;9697;"Aislam";1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"A";97;9697;"Aislam";1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"CE";97;9697;700;1;0;1;1;0;0;1;1;1;1;;;;;;;;
"JM";"Norte de endémica";"C";97;9697;712;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"CE";97;9697;686;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"CE";97;9697;688;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";1;1;1701;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";1;1;1702;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";1;1;1703;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";1;1;1704;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";1;1;1709;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";1;1;1710;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";1;1;1711;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";1;1;1712;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;62;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";2;102;63;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;65;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";2;102;67;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";2;102;68;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;69;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;70;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;73;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;75;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;78;1;0;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0
"RC";"endémica";"M";2;102;81;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"RC";"endémica";"M";2;102;82;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;83;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;84;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;90;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";2;102;93;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;21;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;25;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;26;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;28;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;30;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"HR";"sur de endémica";"M";3;203;35;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;40;;;;;;;;;;;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;42;;;;;;;;;;;1;0;0;1;1;0;0;0
"HR";"sur de endémica";"M";3;203;46;;;;;;;;;;;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";2;203;41;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;42;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;43;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;46;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;47;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;51;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;55;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;57;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;59;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;60;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";2;102;61;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";3;203;98;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";3;203;0;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";3;203;2;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";3;203;4;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";3;203;6;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";3;203;9;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";3;203;11;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";3;203;14;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";3;203;15;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8362;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8413;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8414;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8416;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8418;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8430;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8431;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8432;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8435;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8437;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8438;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";4;304;10676;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";4;304;10677;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";4;304;10678;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";4;304;10679;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";4;304;10680;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";4;304;10681;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";4;304;10682;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";4;304;10683;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";4;304;10684;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";4;304;10686;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";4;304;10687;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";4;304;10688;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";4;304;10689;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";4;304;10690;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10621;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10621;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10624;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"TV";"valle altura";"M";4;304;10627;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10628;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10629;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10630;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10631;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10632;1;0;1;1;0;0;1;1;1;1;1;0;0;1;0;1;0;0
"TV";"valle altura";"M";4;304;10633;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10634;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10635;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10638;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10641;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"VdelR";"NorEste de endémica";"M";4;304;5351;;;;;;;;1;1;1;1;0;0;1;1;0;0;0
"VdelR";"NorEste de endémica";"M";4;304;5352;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"VdelR";"NorEste de endémica";"M";4;304;5353;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"VdelR";"NorEste de endémica";"M";4;304;5354;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"VdelR";"NorEste de endémica";"M";4;304;5355;;;;;;;;1;1;1;1;0;0;1;1;0;0;0
"VdelR";"NorEste de endémica";"M";4;304;5359;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"VdelR";"NorEste de endémica";"M";4;304;5360;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"VdelR";"NorEste de endémica";"M";4;304;5362;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";4;304;9934;1;0;1;1;0;0;1;1;1;1;1;;;;;;;
"P";"núcleo";"M";4;304;9935;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"P";"núcleo";"M";4;304;9936;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"P";"núcleo";"M";4;304;9939;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";4;304;9940;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";4;304;9945;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";4;304;9946;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";4;304;9947;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";4;304;9949;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";4;304;9950;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";4;304;9951;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";4;304;9954;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"P";"núcleo";"M";4;304;9955;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"P";"núcleo";"M";4;304;9956;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";4;304;9958;1;0;1;1;0;0;1;1;1;;;;;;;;;
"P";"núcleo";"M";4;304;9960;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";4;304;9962;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";4;304;9963;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10642;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10643;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10644;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10645;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10646;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10647;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10648;1;0;1;1;0;0;1;1;1;1;1;0;0;1;0;1;0;0
"TV";"valle altura";"M";4;304;10636;;;;;;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10637;;;;;;;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10639;;;;;;;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10640;;;;;;;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10643;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10649;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10650;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
